LabID,SpeciesType,Genotype,Sex,IndividualID,Sample type,Site,Lat,Lon,FieldID,DateColl,Collector,Suspected sp,Dup,Fresh?,storage,logged by,Selected for Metabarcoding,Comment
S23-0470,fail,no,,,scat,CapeCodNationalSeashore Site25,41.81778546,-69.96310553,20221020_Site25_No1,10/20/2022,JP KB,coyote,,N,100% ethanol,,0,"Very old, completely dry and petrified "
S23-0471,fail,no,,,scat,CapeCodNationalSeashore Site25,41.82051461,-69.96430946,20221020_Site25_No2,10/20/2022,JP KB,coyote,,N,100% ethanol,,0,"Very old, mostly composed of hair"
S23-0472,coyote,yes,fail,,scat,CapeCodNationalSeashore Site41,41.85143322,-69.96161229,20221020_Site41_No1,10/20/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0473,coyote,yes,fail,,scat,CapeCodNationalSeashore Site41,41.85139988,-69.96099282,20221020_Site41_No2,10/20/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0474,dog,yes,F,CCNS22_dogF31,scat,CapeCodNationalSeashore Site37,41.91270048,-69.97330061,20221021_site37_no1,10/21/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0475,coyote,yes,fail,,scat,CapeCodNationalSeashore Site17,41.90041870,-69.97719665,20221021_Site17_No1,10/21/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0476,coyote,yes,F,CCNS22_F1,scat,CapeCodNationalSeashore Site17,41.90237920,-69.97623068,20221021_Site17_No2,10/21/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0477,coyote,yes,M,CCNS22_M2,scat,CapeCodNationalSeashore Site17,41.90266984,-69.97674182,20221021_Site17_No3,10/21/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0478,coyote,yes,fail,,scat,CapeCodNationalSeashore Site17,41.90085838,-69.98063560,20221021_site17_no4,10/21/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0479,coyote,yes,M,CCNS22_M2,scat,CapeCodNationalSeashore Site33,41.89290951,-69.96962183,20221021_Site33_No1,10/21/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0480,coyote,yes,M,CCNS22_M2,scat,CapeCodNationalSeashore Site33,41.89268006,-69.97660654,20221021_Site33_No2,10/21/2022,JP KB,coyote,,N,100% ethanol,,1,
S23-0481,coyote,yes,F,CCNS22_F1,scat,CapeCodNationalSeashore Site49,41.88380800,-69.97265723,20221021_Site49_No1,10/21/2022,JP KB,coyote,,Y,100% ethanol,,1,
S23-0482,coyote,yes,F,CCNS22_F48,scat,CapeCodNationalSeashore Site65,41.92762398,-69.97968234,20221022_Site65_N/A,10/22/2022,JP KB,coyote,,N,100% ethanol,,1,
S23-0483,coyote,yes,fail,,scat,CapeCodNationalSeashore Site5,41.92516783,-69.98606958,20221022_site5_no1,10/22/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0484,coyote,yes,F,CCNS22_F3,scat,CapeCodNationalSeashore Site3,41.96819420,-70.01552846,20221022_Site03_No1,10/22/2022,JP KB,coyote,,N,100% ethanol,,1,
S23-0485,coyote,yes,F,CCNS22_F49,scat,CapeCodNationalSeashore Site3,41.96694093,-70.02228090,20221022_Site03_No2,10/22/2022,JP KB,coyote,,Y,100% ethanol,,1,
S23-0486,coyote,yes,fail,,scat,CapeCodNationalSeashore Site10,41.98449450,-70.04602443,20221023_Site10_No1,10/23/2022,JP KB,coyote,,Y,100% ethanol,,0,
S23-0487,coyote,yes,F,CCNS22_F20,scat,CapeCodNationalSeashore Site10,41.98483274,-70.04956437,20221023_Site10_No2,10/23/2022,JP KB,coyote,,N,100% ethanol,,1,
S23-0488,fail,no,,,scat,CapeCodNationalSeashore Site10,41.98411105,-70.05300022,20221023_Site10_No3,10/23/2022,JP KB,coyote,,N,100% ethanol,,,
S23-0489,coyote,yes,F,CCNS22_F20,scat,CapeCodNationalSeashore Site54,41.97752319,-70.04993169,20221023_Site54_No1,10/23/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0490,coyote,yes,fail,,scat,CapeCodNationalSeashore Site54,41.97621565,-70.05843756,20221023_Site54_No2,10/23/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0491,coyote,yes,M,CCNS22_M4,scat,CapeCodNationalSeashore Site34,41.96288486,-70.05662195,20221023_Site34_No1,10/23/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0492,fisher,no,,,scat,CapeCodNationalSeashore Site34,41.96360274,-70.05520517,20221023_Site34_No2,10/23/2022,JP KB,coyote,,Y,100% ethanol,,0,
S23-0493,fisher,no,,,scat,CapeCodNationalSeashore Site34,41.96476777,-70.05164306,20221023_Site34_No3,10/23/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0494,coyote,yes,fail,,scat,CapeCodNationalSeashore Site61,41.94519716,-70.06968460,20221024_Site61_No1,10/24/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0495,coyote,yes,fail,,scat,CapeCodNationalSeashore Site61,41.94097007,-70.07112976,20221024_Site61_No2,10/24/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0496,coyote,yes,fail,,scat,CapeCodNationalSeashore Site6,41.95549775,-70.06088458,20221024_Site06_No1,10/24/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0497,fail,no,,,scat,CapeCodNationalSeashore Site29,41.90621593,-70.07013948,20221025_Site29_No1,10/25/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0498,coyote,yes,fail,,scat,CapeCodNationalSeashore Site2,41.95577737,-70.07179247,20221025_Site02_No1,10/25/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0499,red fox,yes,F,CCNS22_RF-F42,scat,CapeCodNationalSeashore Site18,41.95598101,-70.07630208,20221025_Site18_No1,10/25/2022,JP KB,coyote,,N,100% ethanol,,0,mostly hair 
S23-0500,dog,yes,fail,,scat,CapeCodNationalSeashore Site18,41.95063731,-70.07519813,20221025_Site18_No2,10/25/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0501,red fox,yes,fail,,scat,CapeCodNationalSeashore Site18,41.94786793,-70.07647182,20221025_Site18_No3,10/25/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0502,fail,no,,,scat,CapeCodNationalSeashore Site45,41.94216137,-70.07616930,20221025_Site45_No1,10/25/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0503,dog,yes,fail,,scat,CapeCodNationalSeashore Site21,41.92549042,-69.97561388,20221027_site21_no1,10/27/2022,KB,coyote,,N,100% ethanol,,0,
S23-0504,coyote,yes,fail,,scat,CapeCodNationalSeashore Site21,41.91891283,-69.97290359,20221027_site21_no2,10/27/2022,KB,coyote,,Y,100% ethanol,,0,
S23-0505,fail,no,,,scat,CapeCodNationalSeashore Site65,41.93271010,-69.97872407,20221027_site65_no1,10/27/2022,KB,coyote,,N,100% ethanol,,0,
S23-0506,coyote,yes,F,CCNS22_F3,scat,CapeCodNationalSeashore Site58,41.96777050,-69.99867165,20221027_site58_no1,10/27/2022,KB,coyote,,N,100% ethanol,,0,
S23-0507,fail,no,,,scat,CapeCodNationalSeashore Site9,41.83880838,-69.94723062,20221027_Site09_No1,10/27/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0508,fail,no,,,scat,CapeCodNationalSeashore Site1,41.90161179,-69.97143359,20221027_Site01_No1,10/27/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0509,coyote,yes,fail,,scat,CapeCodNationalSeashore Site1,41.90403162,-69.96709679,20221027_Site01_No2,10/27/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0510,coyote,yes,fail,,scat,CapeCodNationalSeashore Site35,41.98366119,-70.01153981,20221028_site35_no1,10/28/2022,JP KB,coyote,,N,100% ethanol,,0,
S23-0511,coyote,yes,F,CCNS22_F5,scat,CapeCodNationalSeashore Site39,42.02654008,-70.06237884,20221028_Site39_No1,10/28/2022,JP KB,coyote,,Y,100% ethanol,,0,
S23-0512,coyote,yes,F,CCNS22_F12,scat,CapeCodNationalSeashore Site39,42.02691269,-70.05867385,20221028_Site39_No2,10/28/2022,JP KB,coyote,,Y,100% ethanol,,0,
S23-0513,fail,no,,,scat,CapeCodNationalSeashore Site47,42.06000951,-70.09773212,20221029_Site47_No1,10/29/2022,JP KB,coyote,,N,100% ethanol,,0,
