LabID,IndividualID,YearCollected
S23-0476,CCNS22_F1,2022
S23-0477,CCNS22_M2,2022
S23-0482,CCNS22_F48,2022
S23-0484,CCNS22_F3,2022
S23-0485,CCNS22_F49,2022
S23-0487,CCNS22_F20,2022
S23-0663,CCNS22_M4,2022
S23-0511,CCNS22_F5,2022
S23-0512,CCNS22_F12,2022
S23-0589,CCNS22_M19,2022
S23-0673,CCNS22_M15,2022
S23-0521,CCNS22_F50,2022
S23-0522,CCNS22_F28,2022
S23-0523,CCNS22_M6,2022
S23-0526,CCNS22_M21,2022
S23-0529,CCNS22_F51,2022
S23-0532,CCNS22_M52,2022
S23-0631,CCNS22_F26,2022
S23-0538,CCNS22_M7,2022
S23-0544,CCNS22_M23,2022
S23-0545,CCNS22_M17,2022
S23-0591,CCNS22_F13,2022
S23-0548,CCNS22_M22,2022
S23-0555,CCNS22_F53,2022
S23-0557,CCNS22_M54,2022
S23-0559,CCNS22_F55,2022
S23-0561,CCNS22_M46,2022
S23-0565,CCNS22_M24,2022
S23-0564,CCNS22_M56,2022
S23-0566,CCNS22_M57,2022
S23-0567,CCNS22_M58,2022
S23-0568,CCNS22_M18,2022
S23-0570,CCNS22_M59,2022
S23-0660,CCNS22_M25,2022
S23-0573,CCNS22_F60,2022
S23-0574,CCNS22_F61,2022
S23-0580,CCNS22_M62,2022
S23-0583,CCNS22_F47,2022
S23-0584,CCNS22_F63,2022
S23-0616,CCNS22_F29,2022
S23-0640,CCNS22_F30,2022
S23-0598,CCNS22_M64,2022
S23-0599,CCNS22_M65,2022
S23-0601,CCNS22_M66,2022
S23-0602,CCNS22_M67,2022
S23-0662,CCNS22_F14,2022
S23-0614,CCNS22_M68,2022
S23-0628,CCNS22_M27,2022
S23-0632,CCNS22_M8,2022
S23-0636,CCNS22_M69,2022
S23-0641,CCNS22_F70,2022
S23-0650,CCNS22_F16,2022
S23-0655,CCNS22_M71,2022
S23-0664,CCNS22_M9,2022
S23-0670,CCNS22_M10,2022
S23-0672,CCNS22_F72,2022
S23-0684,CCNS22_F73,2022
S23-2675,CCNS23_M17,2023
S23-2678,CCNS23_F3,2023
S23-2681,CCNS23_F19,2023
S23-2684,CCNS23_F20,2023
S23-2686,CCNS23_M21,2023
S23-2688,CCNS23_M22,2023
S23-2691,CCNS23_M23,2023
S23-2692,CCNS23_F2,2023
S23-2694,CCNS22_M4,2023
S23-2697,CCNS23_F11,2023
S23-2699,CCNS22_M6,2023
S23-2700,CCNS22_M19,2023
S23-2707,CCNS22_F73,2023
S23-2708,CCNS22_M7,2023
S23-2710,CCNS23_F25,2023
S23-2712,CCNS22_F53,2023
S23-2713,CCNS22_M2,2023
S23-2714,CCNS22_M2,2023
S23-2715,CCNS23_F3,2023
S23-2718,CCNS22_M4,2023
S23-2719,CCNS22_M4,2023
S23-2720,CCNS23_F11,2023
S23-2721,CCNS23_F26,2023
S23-2727,CCNS22_F61,2023
S23-2730,CCNS23_F5,2023
S23-2733,CCNS22_F5,2023
S23-2735,CCNS22_M18,2023
S23-2736,CCNS23_M27,2023
S23-2738,CCNS22_M18,2023
S23-2755,CCNS22_M27,2023
S23-2756,CCNS22_F73,2023
S23-2757,CCNS23_M28,2023
S23-2762,CCNS23_F13,2023
S23-2764,CCNS22_M65,2023
S23-2776,CCNS23_F2,2023
S23-2779,CCNS22_F20,2023
S23-2780,CCNS22_F20,2023
S23-2781,CCNS22_M67,2023
S23-2783,CCNS23_F30,2023
S23-2784,CCNS23_F12,2023
S23-2785,CCNS23_M6,2023
S23-2786,CCNS23_F31,2023
S23-2788,CCNS22_M9,2023
S23-2800,CCNS23_M32,2023
S23-2801,CCNS23_F13,2023
S23-2802,CCNS22_M69,2023
S23-2803,CCNS23_F33,2023
S23-2804,CCNS22_M21,2023
S23-2811,CCNS23_F34,2023
S23-2812,CCNS23_F11,2023
S23-2813,CCNS23_M6,2023
S23-2814,CCNS22_F16,2023
S23-2815,CCNS23_F12,2023
S23-2817,CCNS23_F35,2023
S23-2818,CCNS22_F1,2023
S23-2819,CCNS22_F1,2023
S23-2821,CCNS23_M36,2023
S23-2822,CCNS22_F1,2023
S23-2825,CCNS22_F1,2023
S23-2827,CCNS23_F5,2023
S23-2828,CCNS23_F12,2023
S23-2829,CCNS23_M1,2023
S23-2830,CCNS23_M1,2023
S23-2831,CCNS22_F16,2023
S23-2832,CCNS22_M71,2023
S23-2834,CCNS22_M18,2023
S23-2836,CCNS23_F37,2023
S23-2837,CCNS22_F5,2023
S23-2838,CCNS22_F5,2023
S23-2841,CCNS22_F5,2023
S23-2843,CCNS22_F20,2023
S23-2845,CCNS23_F38,2023
S23-2846,CCNS23_F39,2023
S23-2847,CCNS23_F40,2023
S23-2848,CCNS23_F41,2023
S23-2856,CCNS23_M42,2023
S23-2857,CCNS23_F7,2023
S23-2862,CCNS22_M21,2023
S23-2863,CCNS23_F43,2023
S23-2866,CCNS23_F7,2023
S23-2867,CCNS22_M15,2023
S23-2872,CCNS23_F13,2023
S23-2874,CCNS23_F44,2023
